Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
DL,01/01/2021,0684,N111NG,SLC,14:05,18:09,186,217,244,17:56,13,0,0,111,0,133
DL,01/01/2021,0746,N129DU,SLC,21:42,21:40,177,180,-2,21:31,9,0,0,0,0,0
DL,01/01/2021,0853,N124DU,SEA,17:01,20:18,226,242,197,20:01,17,0,0,197,0,0
DL,01/01/2021,1319,N929AT,ATL,21:26,21:12,116,107,-14,21:06,6,0,0,0,0,0
DL,01/01/2021,1360,N997AT,ATL,15:37,17:44,116,129,127,17:37,7,0,0,127,0,0
DL,01/01/2021,2220,N978AT,ATL,10:37,10:21,117,107,-16,10:14,7,0,0,0,0,0
DL,01/02/2021,0684,N116DU,SLC,12:40,12:36,190,191,-4,12:30,6,0,0,0,0,0
DL,01/02/2021,0699,N135DQ,SLC,18:14,18:25,183,194,11,18:12,13,0,0,0,0,0
DL,01/02/2021,0746,N126DU,SLC,21:42,22:00,177,188,18,21:53,7,7,0,11,0,0
DL,01/02/2021,0853,N129DU,SEA,15:48,15:36,233,227,-12,15:28,8,0,0,0,0,0
DL,01/02/2021,0898,N110DU,SEA,23:15,23:22,220,229,7,23:14,8,0,0,0,0,0
DL,01/02/2021,1319,N951AT,ATL,20:56,20:34,117,98,-22,20:24,10,0,0,0,0,0
DL,01/02/2021,1332,N964AT,ATL,17:31,17:32,116,107,1,17:26,6,0,0,0,0,0
DL,01/02/2021,1347,N377DN,ATL,09:11,08:58,118,106,-13,08:49,9,0,0,0,0,0
DL,01/02/2021,1360,N949AT,ATL,15:37,15:28,116,110,-9,15:21,7,0,0,0,0,0
DL,01/02/2021,1374,N981AT,ATL,23:26,23:14,110,96,-12,23:09,5,0,0,0,0,0
DL,01/02/2021,2220,N996AT,ATL,10:55,11:00,115,123,5,10:51,9,0,0,0,0,0
DL,01/03/2021,0684,N135DQ,SLC,12:40,12:39,190,191,-1,12:28,11,0,0,0,0,0
DL,01/03/2021,0699,N133DU,SLC,18:14,18:46,183,207,32,18:34,12,8,0,24,0,0
DL,01/03/2021,0746,N111NG,SLC,21:42,21:50,177,179,8,21:43,7,0,0,0,0,0
DL,01/03/2021,0853,N110DU,SEA,15:48,16:09,233,228,21,15:59,10,0,0,0,0,21
DL,01/03/2021,0898,N129DU,SEA,23:15,23:09,220,220,-6,23:01,8,0,0,0,0,0
DL,01/03/2021,1319,N947AT,ATL,20:56,20:50,117,112,-6,20:44,6,0,0,0,0,0
DL,01/03/2021,1332,N977AT,ATL,17:31,17:20,116,110,-11,17:15,5,0,0,0,0,0
DL,01/03/2021,1347,N908DN,ATL,09:11,09:02,118,111,-9,08:54,8,0,0,0,0,0
DL,01/03/2021,1360,N970AT,ATL,15:37,17:15,116,115,98,17:05,10,0,0,0,0,98
DL,01/03/2021,1374,N996AT,ATL,23:26,23:28,110,114,2,23:23,5,0,0,0,0,0
DL,01/03/2021,2204,N369NB,ATL,13:26,13:40,116,133,14,13:28,12,0,0,0,0,0
DL,01/03/2021,2220,N929AT,ATL,10:55,11:08,115,112,13,10:54,14,0,0,0,0,0
DL,01/04/2021,0684,N112DU,SLC,12:40,12:41,190,202,1,12:31,10,0,0,0,0,0
DL,01/04/2021,0699,N116DU,SLC,18:14,18:04,183,176,-10,17:56,8,0,0,0,0,0
DL,01/04/2021,0746,N124DU,SLC,21:42,21:41,177,175,-1,21:33,8,0,0,0,0,0
DL,01/04/2021,0853,N129DU,SEA,15:48,15:36,233,213,-12,15:32,4,0,0,0,0,0
DL,01/04/2021,0898,N131DU,SEA,23:15,03:37,220,216,262,03:32,5,0,0,0,0,262
DL,01/04/2021,1319,N998AT,ATL,20:56,20:43,117,106,-13,20:33,10,0,0,0,0,0
DL,01/04/2021,1332,N989AT,ATL,17:31,17:16,116,106,-15,17:10,6,0,0,0,0,0
DL,01/04/2021,1347,N105DX,ATL,09:11,08:58,118,109,-13,08:52,6,0,0,0,0,0
DL,01/04/2021,1360,N945AT,ATL,15:37,15:25,116,108,-12,15:16,9,0,0,0,0,0
DL,01/04/2021,1374,N717JL,ATL,23:26,23:30,110,116,4,23:25,5,0,0,0,0,0
DL,01/04/2021,2204,N369NB,ATL,13:26,13:23,116,120,-3,13:15,8,0,0,0,0,0
DL,01/04/2021,2220,N949AT,ATL,10:55,10:59,115,106,4,10:51,8,0,0,0,0,0
DL,01/05/2021,0684,N133DU,SLC,14:10,13:56,185,176,-14,13:50,6,0,0,0,0,0
DL,01/05/2021,0746,N110DU,SLC,22:07,21:50,182,171,-17,21:44,6,0,0,0,0,0
DL,01/05/2021,0898,N124DU,SEA,17:55,17:54,240,239,-1,17:43,11,0,0,0,0,0
DL,01/05/2021,1332,N942AT,ATL,18:56,18:48,126,122,-8,18:37,11,0,0,0,0,0
DL,01/05/2021,1347,N944AT,ATL,09:04,09:13,119,128,9,09:00,13,0,0,0,0,0
DL,01/05/2021,1360,N925AT,ATL,16:00,15:58,120,122,-2,15:50,8,0,0,0,0,0
DL,01/05/2021,1374,N998AT,ATL,23:31,23:39,115,126,8,23:35,4,0,0,0,0,0
DL,01/05/2021,2204,N977AT,ATL,13:35,13:32,122,122,-3,13:23,9,0,0,0,0,0
DL,01/06/2021,0684,N125DU,SLC,14:10,14:17,185,185,7,14:08,9,0,0,0,0,0
DL,01/06/2021,0746,N120DU,SLC,22:07,21:57,182,179,-10,21:52,5,0,0,0,0,0
DL,01/06/2021,0898,N110DU,SEA,17:55,17:57,240,247,2,17:49,8,0,0,0,0,0
DL,01/06/2021,1332,N945AT,ATL,18:56,18:40,126,115,-16,18:32,8,0,0,0,0,0
DL,01/06/2021,1347,N947AT,ATL,09:04,08:57,119,113,-7,08:49,8,0,0,0,0,0
DL,01/06/2021,1360,N995AT,ATL,16:00,16:02,120,107,2,15:57,5,0,0,0,0,0
DL,01/06/2021,1374,N948AT,ATL,23:31,23:25,115,111,-6,23:17,8,0,0,0,0,0
DL,01/06/2021,2204,N991AT,ATL,13:35,13:19,122,109,-16,13:14,5,0,0,0,0,0
DL,01/07/2021,0684,N138DU,SLC,12:42,12:45,192,202,3,12:34,11,0,0,0,0,0
DL,01/07/2021,0699,N124DU,SLC,17:33,17:47,176,197,14,17:26,21,0,0,0,0,0
DL,01/07/2021,0746,N138DU,SLC,22:07,21:58,182,172,-9,21:53,5,0,0,0,0,0
DL,01/07/2021,0898,N120DU,SEA,17:55,18:10,240,260,15,17:46,24,0,0,15,0,0
DL,01/07/2021,1319,N982AT,ATL,20:59,20:40,120,106,-19,20:33,7,0,0,0,0,0
DL,01/07/2021,1332,N954AT,ATL,17:11,17:12,115,122,1,17:03,9,0,0,0,0,0
DL,01/07/2021,1347,N926AT,ATL,09:04,09:01,119,119,-3,08:51,10,0,0,0,0,0
DL,01/07/2021,1360,N965AT,ATL,15:46,15:24,121,103,-22,15:18,6,0,0,0,0,0
DL,01/07/2021,1374,N977AT,ATL,23:31,23:37,115,125,6,23:32,5,0,0,0,0,0
DL,01/07/2021,2204,N989AT,ATL,13:35,13:23,122,113,-12,13:15,8,0,0,0,0,0
DL,01/08/2021,0684,N124DU,SLC,12:42,13:10,192,209,28,12:57,13,11,0,17,0,0
DL,01/08/2021,0699,N135DQ,SLC,17:33,19:19,176,180,106,19:10,9,0,0,4,0,102
DL,01/08/2021,0746,N114DU,SLC,22:07,22:02,182,179,-5,21:54,8,0,0,0,0,0
DL,01/08/2021,0898,N138DU,SEA,17:55,18:09,240,251,14,17:51,18,0,0,0,0,0
DL,01/08/2021,1319,N929AT,ATL,20:59,21:13,120,115,14,21:06,7,0,0,0,0,0
DL,01/08/2021,1332,N991AT,ATL,17:11,18:43,115,112,92,18:37,6,3,0,0,0,89
DL,01/08/2021,1347,N717JL,ATL,09:04,08:57,119,116,-7,08:49,8,0,0,0,0,0
DL,01/08/2021,1360,N942AT,ATL,15:46,15:41,121,117,-5,15:33,8,0,0,0,0,0
DL,01/08/2021,1374,N927AT,ATL,23:31,23:58,115,108,27,23:53,5,6,0,0,0,21
DL,01/08/2021,2204,N997AT,ATL,13:35,13:31,122,122,-4,13:25,6,0,0,0,0,0
DL,01/09/2021,0684,N124DU,SLC,14:10,14:41,185,189,31,14:32,9,0,0,31,0,0
DL,01/09/2021,0746,N123DQ,SLC,22:07,21:58,182,175,-9,21:54,4,0,0,0,0,0
DL,01/09/2021,0898,N114DU,SEA,17:55,17:52,240,238,-3,17:44,8,0,0,0,0,0
DL,01/09/2021,1332,N997AT,ATL,18:56,18:44,126,115,-12,18:35,9,0,0,0,0,0
DL,01/09/2021,1347,N982AT,ATL,09:04,11:42,119,111,158,11:35,7,158,0,0,0,0
DL,01/09/2021,1360,N953AT,ATL,16:00,16:00,120,112,0,15:54,6,0,0,0,0,0
DL,01/09/2021,1374,N964AT,ATL,23:31,23:18,115,102,-13,23:13,5,0,0,0,0,0
DL,01/09/2021,2204,N925AT,ATL,13:35,13:23,122,114,-12,13:17,6,0,0,0,0,0
DL,01/10/2021,0684,N107DU,SLC,12:42,13:06,192,221,24,12:55,11,0,0,24,0,0
DL,01/10/2021,0699,N126DU,SLC,17:33,17:46,176,188,13,17:40,6,0,0,0,0,0
DL,01/10/2021,0746,N120DU,SLC,22:07,22:22,182,199,15,22:15,7,0,0,15,0,0
DL,01/10/2021,0898,N123DQ,SEA,17:55,18:12,240,264,17,18:01,11,0,0,17,0,0
DL,01/10/2021,1319,N979AT,ATL,20:59,20:42,120,104,-17,20:37,5,0,0,0,0,0
DL,01/10/2021,1332,N965AT,ATL,17:11,17:31,115,116,20,17:27,4,0,0,1,0,19
DL,01/10/2021,1347,N949AT,ATL,09:04,08:54,119,110,-10,08:44,10,0,0,0,0,0
DL,01/10/2021,1360,N943AT,ATL,15:46,15:24,121,103,-22,15:18,6,0,0,0,0,0
DL,01/10/2021,1374,N929AT,ATL,23:31,23:05,115,103,-26,23:01,4,0,0,0,0,0
DL,01/10/2021,2204,N997AT,ATL,13:35,13:16,122,108,-19,13:12,4,0,0,0,0,0
DL,01/11/2021,0684,N107DU,SLC,12:42,12:53,192,212,11,12:44,9,0,0,0,0,0
DL,01/11/2021,0699,N118DU,SLC,17:33,17:46,176,190,13,17:34,12,0,0,0,0,0
DL,01/11/2021,0746,N123DQ,SLC,22:07,21:56,182,181,-11,21:49,7,0,0,0,0,0
DL,01/11/2021,0898,N120DU,SEA,17:55,17:53,240,244,-2,17:40,13,0,0,0,0,0
DL,01/11/2021,1319,N996AT,ATL,20:59,20:39,120,103,-20,20:33,6,0,0,0,0,0
DL,01/11/2021,1332,N980AT,ATL,17:11,16:55,115,105,-16,16:50,5,0,0,0,0,0
DL,01/11/2021,1347,N951AT,ATL,09:04,08:56,119,114,-8,08:44,12,0,0,0,0,0
DL,01/11/2021,1360,N989AT,ATL,15:46,15:33,121,109,-13,15:26,7,0,0,0,0,0
DL,01/11/2021,1374,N929AT,ATL,23:31,23:17,115,105,-14,23:12,5,0,0,0,0,0
DL,01/11/2021,2204,N981AT,ATL,13:35,13:20,122,108,-15,13:15,5,0,0,0,0,0
DL,01/12/2021,0684,N135DQ,SLC,14:10,14:43,185,187,33,14:34,9,31,0,2,0,0
DL,01/12/2021,0746,N126DU,SLC,22:07,21:52,182,174,-15,21:47,5,0,0,0,0,0
DL,01/12/2021,0898,N129DU,SEA,17:55,17:48,240,224,-7,17:37,11,0,0,0,0,0
DL,01/12/2021,1332,N955AT,ATL,18:56,18:39,126,114,-17,18:29,10,0,0,0,0,0
DL,01/12/2021,1347,N971AT,ATL,09:04,09:16,119,137,12,08:56,20,0,0,0,0,0
DL,01/12/2021,1360,N608AT,ATL,16:00,15:45,120,109,-15,15:39,6,0,0,0,0,0
DL,01/12/2021,1374,N929AT,ATL,23:31,23:19,115,106,-12,23:13,6,0,0,0,0,0
DL,01/12/2021,2204,N996AT,ATL,13:35,13:21,122,110,-14,13:16,5,0,0,0,0,0
DL,01/13/2021,0684,N112DU,SLC,14:10,13:56,185,177,-14,13:46,10,0,0,0,0,0
DL,01/13/2021,0746,N121DU,SLC,22:07,21:39,182,163,-28,21:34,5,0,0,0,0,0
DL,01/13/2021,0898,N126DU,SEA,17:55,17:36,240,222,-19,17:30,6,0,0,0,0,0
DL,01/13/2021,1332,N946AT,ATL,18:56,18:37,126,112,-19,18:28,9,0,0,0,0,0
DL,01/13/2021,1347,N952AT,ATL,09:04,09:25,119,142,21,09:16,9,0,0,21,0,0
DL,01/13/2021,1360,N974AT,ATL,16:00,15:46,120,110,-14,15:42,4,0,0,0,0,0
DL,01/13/2021,1374,N949AT,ATL,23:31,23:22,115,111,-9,23:16,6,0,0,0,0,0
DL,01/13/2021,2204,N944AT,ATL,13:35,13:19,122,108,-16,13:12,7,0,0,0,0,0
DL,01/14/2021,0684,N110DU,SLC,12:42,12:24,192,184,-18,12:18,6,0,0,0,0,0
DL,01/14/2021,0699,N112DU,SLC,17:33,17:28,176,176,-5,17:21,7,0,0,0,0,0
DL,01/14/2021,0746,N126DU,SLC,22:07,21:55,182,177,-12,21:48,7,0,0,0,0,0
DL,01/14/2021,0898,N121DU,SEA,17:55,17:44,240,234,-11,17:30,14,0,0,0,0,0
DL,01/14/2021,1319,N978AT,ATL,20:59,20:43,120,109,-16,20:36,7,0,0,0,0,0
DL,01/14/2021,1332,N948AT,ATL,17:11,16:58,115,105,-13,16:52,6,0,0,0,0,0
DL,01/14/2021,1347,N971AT,ATL,09:04,09:00,119,116,-4,08:52,8,0,0,0,0,0
DL,01/14/2021,1360,N996AT,ATL,15:46,15:28,121,107,-18,15:22,6,0,0,0,0,0
DL,01/14/2021,1374,N989AT,ATL,23:31,23:18,115,106,-13,23:07,11,0,0,0,0,0
DL,01/14/2021,2204,N946AT,ATL,13:35,13:19,122,111,-16,13:14,5,0,0,0,0,0
DL,01/15/2021,0684,N133DU,SLC,12:42,12:43,192,191,1,12:37,6,0,0,0,0,0
DL,01/15/2021,0699,N134DU,SLC,17:33,17:45,176,189,12,17:38,7,0,0,0,0,0
DL,01/15/2021,0746,N121DU,SLC,22:07,21:55,182,174,-12,21:50,5,0,0,0,0,0
DL,01/15/2021,0898,N126DU,SEA,17:55,17:39,240,238,-16,17:25,14,0,0,0,0,0
DL,01/15/2021,1319,N927AT,ATL,20:59,20:45,120,106,-14,20:39,6,0,0,0,0,0
DL,01/15/2021,1332,N997AT,ATL,17:11,17:15,115,124,4,17:06,9,0,0,0,0,0
DL,01/15/2021,1347,N934AT,ATL,09:04,08:46,119,105,-18,08:38,8,0,0,0,0,0
DL,01/15/2021,1360,N986AT,ATL,15:46,15:28,121,107,-18,15:19,9,0,0,0,0,0
DL,01/15/2021,1374,N974AT,ATL,23:31,23:23,115,111,-8,23:18,5,0,0,0,0,0
DL,01/15/2021,2204,N947AT,ATL,13:35,13:15,122,105,-20,13:10,5,0,0,0,0,0
DL,01/16/2021,0684,N133DU,SLC,14:10,14:18,185,193,8,14:08,10,0,0,0,0,0
DL,01/16/2021,0746,N118DU,SLC,22:07,22:07,182,188,0,22:01,6,0,0,0,0,0
DL,01/16/2021,0898,N121DU,SEA,17:55,17:35,240,224,-20,17:28,7,0,0,0,0,0
DL,01/16/2021,1332,N986AT,ATL,18:56,18:33,126,104,-23,18:29,4,0,0,0,0,0
DL,01/16/2021,1347,N942AT,ATL,09:04,09:04,119,118,0,08:53,11,0,0,0,0,0
DL,01/16/2021,1360,N943AT,ATL,16:00,15:54,120,117,-6,15:49,5,0,0,0,0,0
DL,01/16/2021,1374,N929AT,ATL,23:31,00:02,115,104,31,23:57,5,31,0,0,0,0
DL,01/16/2021,2204,N951AT,ATL,13:35,13:23,122,115,-12,13:17,6,0,0,0,0,0
DL,01/17/2021,0684,N112DU,SLC,14:10,14:25,185,187,15,14:13,12,13,0,2,0,0
DL,01/17/2021,0746,N131DU,SLC,22:07,21:44,182,171,-23,21:37,7,0,0,0,0,0
DL,01/17/2021,0898,N118DU,SEA,17:55,17:31,240,224,-24,17:22,9,0,0,0,0,0
DL,01/17/2021,1332,N980AT,ATL,18:56,18:41,126,115,-15,18:25,16,0,0,0,0,0
DL,01/17/2021,1347,N977AT,ATL,09:04,08:53,119,111,-11,08:40,13,0,0,0,0,0
DL,01/17/2021,1360,N996AT,ATL,16:00,15:40,120,105,-20,15:30,10,0,0,0,0,0
DL,01/17/2021,1374,N943AT,ATL,23:31,23:22,115,106,-9,23:16,6,0,0,0,0,0
DL,01/17/2021,2204,N986AT,ATL,13:35,13:30,122,116,-5,13:17,13,0,0,0,0,0
DL,01/18/2021,0684,N138DU,SLC,12:42,12:36,192,190,-6,12:29,7,0,0,0,0,0
DL,01/18/2021,0699,N134DU,SLC,17:33,17:57,176,167,24,17:46,11,24,0,0,0,0
DL,01/18/2021,0746,N118DU,SLC,22:07,21:49,182,172,-18,21:43,6,0,0,0,0,0
DL,01/18/2021,0898,N131DU,SEA,17:55,18:00,240,248,5,17:50,10,0,0,0,0,0
DL,01/18/2021,1319,N955AT,ATL,20:59,20:48,120,113,-11,20:42,6,0,0,0,0,0
DL,01/18/2021,1332,N978AT,ATL,17:11,17:10,115,119,-1,17:00,10,0,0,0,0,0
DL,01/18/2021,1347,N970AT,ATL,09:04,09:02,119,120,-2,08:51,11,0,0,0,0,0
